Genus,Species,Hosts,Appearance and Lifestyle,Monitoring,Symptoms,Economic Threshold level,Biological Control,Chemical Control,Ipm,Mechanical Control,Hortical Control,Conservational Biocontrol
Capsids,Plesiocoris rugicollis  Fieber,Hosts: ,"Appearance and Lifecycle: The dorsal macroducts are one-barred. Female body yellow, about 1.4 mm long, pear-shaped, pygidium with two convergent lobes, second lobe with an external notch; the third lobe a small round projection. One pair of paraphyses places between the median and second lobes, another near the reduced third lobe. With 2-3 broad, fimbriate plates placed beyond the third lobe. The anus is located between the median lobes and the vulva. The Perivulvar pores in five groups. The female shield](entry/Shield) is circular, slightly convex, grey-brown, 1.5-1.9 mm in diameter, margins sometimes paler. The juveniles exuviae are brighter, slightly off-centre. The shield of the male is grey, elongated, bearing at one end the exuvium of the ",,"Has regained importance during recent years in some regions. It causes damage similar to L. pabulinus, but mostly more severe, as it stays on its woody host throughout the year. Repeatedly attacked shoots die, and lateral shoots sprout prematurely.",,,,,,,
Fruitflies,Ceratitis capitata (Wiedemann),"Several hundred deciduous, subtropical, and tropical fruit trees and some vegetables.","Lifecycle: In Denmark it apears Primo June - mid July. Winterwinter like eggs. Usually one generation a year, but two may occur. The feed consists of plant food.","Fruit sampling was formerly a common method of monitoring medfly populations. Various visual and olfactory baits are used to determine the optimum treatment periods of the first generation. Another method is using yellow sticky-board traps that attract the medfly due to their color and to which the insects stick and can then be counted. Methods in more recent use are ammonia traps to bait females and attractants (like trimedlure) for males. An example is the widely used McPhail trap. It consists of a bell-shaped receptacle open at the bottom containing an attractant along with a toxicant, that may continue to attract for 2-3 months. McPhail traps are also used for mass-trapping, as a “lure-and-kill” technique. Its efficacy depends on the number of traps placed in an orchard, on their location (e.g. on its borders to catch invading flies), on the crop to be defended, and on the pest’s population density. Some lures also attract parasitoids, but spinosad or the insecticidal paint phloxin B do not harm these natural enemies. Other attractants and traps (e.g. Jackson trap, Steiner trap, Multilure trap and others) have also been developed. The effectiveness of control measures is assessed by the punctured and dropped fruits and by the number of males captured in traps.","The medfly is among the world’s most destructive fruit pests. The damage caused by this pest can be significant, especially in the summer months and in the autumn.",,"Several ant species and predatory Coleoptera prey on medfly stages in the soil. In different parts of the world the larvae are attacked by various hymenopterous parasitoids. These include Aganaspis daci (Weld) Eucoilidae and the Braconidae Psyttalia concolor (Szepligeti), Diachasmimorpha krausii(Fullaway), Diachasmimorpha tryoni (Cameron) and Fopius ceratitivorus Wharton. A drawback of this approach is that the parasitoids are unable to control medfly infestations to below an extremely low economic threshold.","Cases of resistance has beeen reported to malathion and lambda-cychalotrin in Spain, and one case to lindan in Egypt. ",,,"The fruit fly flour can be reduced by collecting and destroying infected fruits which is considered one of the most important protective measures, especially in smaller orchards. Heavy, continuous infestations may be contained by removing all fruit from potential host trees, and burying them within plastic bags. ",
Fruitflies,Drosophila suzukii  (Matsumura),"Berry, bony and nuts fruits, as well as vineyards","Apperance and Life cycle:  The maggot is whitish-yellow, about 7-9 mm in length, elongate, its anterior end narrowed, caudal segments broader, with a pair of posterior spiracles. The adult fly is 3.5 to 5 mm in length, with red eyes, dorsum dark with characteristic pale markings, venter yellow, wings hyaline with yellow to dark spots. The male bears a pair of dark spatula-like setae on its head.",,"This pest can cause fairly large damage to the fruit just before harvesting, but also afterwards. After laying eggs just below the white larvae, they move into the depth of the fetus, thereby destroying its interior. The fruits become soft and lose on market value. Very quickly damaged fruits collapse where the larvae feed. Various secondary parasites (mushrooms and bacteria), which cause rot, are subsequently settled on damaged fruits. D. suzukii causes direct damage during the ripening period, but also indirectly accompanied by the appearance of rotting and fruiting.",,"Trying to introduce biological control strategies. Neoseiulus cucumeris and Orius spp. Biological control could not keep the problem sufficiently under control. Some chemicals with side effects: lambda-cyhalothrin/alpha-cypermethrin, thiacloprid, spinosad.","No chemicals approved against this pest in DK. Follow the traps and check the fruit to determine the effectiveness of spraying. Spraying before the occurrence of D.suzuki unnecessarily reduces populations of useful insect predators and pollen insects. It is necessary to check the moms each day as they approach the harvest and start spraying if the flies are caught. When spraying is necessary, determine the treatment time to protect the pollen carriers. Check the first mature fruit very carefully. Maintaining a clean plant is easier than restoring control.","Trying to introduce biological control strategies. Neoseiulus cucumeris and Orius spp. Biological control could not keep the problem sufficiently under control. Some chemicals with side effects: lambda-cyhalothrin/alpha-cypermethrin, thiacloprid, spinosad. ","Remove plant residues as much as possible - bury, destroy, not recommend composting plant residues; To do in detail; D. suzuki is easily propagated on weeds and needs to be removed",,
Fruitflies,Dasineura mali (Keiffer),Apple and Malus sp. only are infested.  All apple varieties are susceptible.,"Lifecycle: 3-4 generations per year, the first around blossom time but the larval stage is the most readily recognised.  Eggs are brown and cigar shaped and laid amongst hairs in the very tiniest leaves in the growing points. They can just be seen with the naked eye but use of a hand lens is desirable.","Numbers of eggs should be monitored weekly in a representative orchard on the farm if the pest is to be managed either with insecticides (i.e. on nursery stocks) or by control by its natural enemy, the parasitic wasp Platygaster demades in orchards.","Trees with vigorously growing shoots are attacked most heavily. Leaf midge attacks young leaves, mainly in growing points, but can also attack rosette leaves. Larvae cause the edges of leaves to roll tightly round themselves to form characteristic leaf curls. Shoot growth is reduced. This is usually of little consequence in established orchards but is more important on nursery stocks and newly planted trees.Occasionally, very severe attacks occur in established orchards, notably Bramley. Photosynthetic leaf area is greatly reduced, sometimes by over 50%, and this adversely affects fruit size and fruit bud formation.",,"The parasitic wasp Platygaster demades is the key natural enemy of apple leaf midge and will reduce populations to low, tolerable levels if allowed to establish and thrive. The parasite occurs naturally in the UK but is often absent or present at only very low levels in commercial orchards as it is sensitive to broad-spectrum insecticides.",Chemical control of these midge species is difficult because their first reproductive periods coincide more or less with the flowering of their hosts when most insecticides cannot be applied and because insecticide residues are effective for only very short periods on fast-growing shoot tips while hatching larvae soon find protection inside the galls they produce.There are no approved plant protection products available for the control of this insect. ,"The parasitic wasp Platygaster demades is the key natural enemy of apple leaf midge and will reduce populations to low, tolerable levels if allowed to establish and thrive. The parasite occurs naturally in the UK but is often absent or present at only very low levels in commercial orchards as it is sensitive to broad-spectrum insecticides.",,,
Moths,Carpocapsa pomonella  (Linnaeus),"Pome fruit (a major pest of apples and pears around the world, as well as quince, walnuts and various uncultivated Rosaceae.  ","Appearance and Lifecycle: The adult wrappers have a 15-22 mm wing spline. The forefings are brownish with a diffuse, scattered gray-white cut and a large metallic, bronze-like spot near the tip. The hindquarters are brownish The eggs are 1.3 x 1.0 mm large, flat with a transparent appearance. The larvae that grow 18 to 20 mm long are pale pink, with a black head. The puppy is 8-10 mm long, cute brown to dark brown.",,"C. pomonella is a very important pest in apples in Denmark. The damage is caused by larvae, which burrow into the fruits. Infested fruit are unmarketable. In years with heavy infestations in untreated orchards, yield loss by C. pomonella damage reaches 80%. ",,,,,,,
Moths,Carpocapsa molesta (Busck),"Peach, pear, quince, apple, apricot, plum.","Appearance and Lifecycle: The adult fruit peel winners have a 19-22 mm wingspan. The color is brownish with darker markings on the wings. The larvae are greenish 18-22 mm long, with a light brown, shiny head. The eggs are hard to spot. They are placed in groups on the leaf page (20-100 together) in a translucent egg mass. As they approach the hatch it is easier to spot. ","In order to reduce the numbers of the pest’s first generation, its populations are monitored in early spring. Sex pheromone traps (often using the Shin-Etsu twist-tie rope dispensers) are used to capture male moths in order to establish the biofix, which indicates the time of first male catch (beginning of the emergence from diapause). The development of the pest’s population may then be determined by using the PETE (Predictive Extension Time Estimator) model. By using information about the pest’s biology along with meteorological data, PETE forecasts when the various stages of the pest will appear, and thereby indicates the optimal time for spraying against its first generation. Later in the season pheromone traps are used to monitor moth populations; the finding of 4 or more moths per trap within two weeks triggers chemical control measures. Another method, used later in the season to determine the results of control measures, consists of establishing the rate of fruit infestation, samples being collected every week or during the population peaks of the moth. Individual apples are examined for the presence of dark brown frass, which is the excrement of the larva.","The first damage is seen on young owners in the form of tinting and drying. Symptoms of the later generations appear later on the fruits. On the fruits you can see the resin, on which the mushroom is settled, while on the cross-section of the fruit you can see the halls where the feces are located.",,"Various organisms affect the codling moth, attacking the eggs or larvae in different parts of the world. Beneficial organisms are not sufficient by themselves to affect a commercially acceptable level of control; rather, they play a potentially potent part in an overall long-range ecological management strategy. Best results are usually observed after three to five years of releases, as the population of beneficials grows. ","Chemical spray treatment is widely used for the control of C. pomonella. Chemical control of  C. pomonella. is one of the best documented topics in the applied entomological literature. The key element is accurate timing of the first treatment. This can be refined by pheromone trapping of the first flight of adults. Mating requires two consecutive evenings at a temperature over 15°C. Eggs are laid over 5-6 days and have to incubate over 8-18 days. A simple temperature sum curve can be used to estimate when the eggs will hatch. The first treatment can then be timed just before egg hatch (except diflubenzuron to be applied during oviposition). Computer-based prognosis models are available, generally used by the official forecasting services. In northern Europe, the second generation can also be timed but, in southern Europe, the generations rapidly come to overlap. In summer, thresholds can also be used to decide whether to treat (% infested fruits, numbers of adults caught in pheromone traps).","In Denmark, You can use: 
 Turex WG* (500 g kg Bacillus thuringiensis subsp. Aizawai, strain GC-91)
 Madex* (Microbial insecticides based on Cydia pomonella granulovirus (CpGV) ","If you have the opportunity to collect attacked apples before the larvae leave these, this will probably have a positive effect.",,Conservation biocontrol (flowerstrips):  Ecological infrastructures such as hedgerows and flowering strips provide alternative habitat and prey for beneficials. Actively increasing functional biodiversity to protect against insect
Moths,Adoxophyes orana  Fischer von Röslerstamm,"Polyphagous species, feeding on all types of pome and stone fruit (apple, pear, plum, ribs) and on numerous deciduous trees in hedgerows and woods.","Appearance and Lifecycle: The adult rowanberry moth is a small butterfly, with a wings of 12-15 mm. The head back and and a part along the hindquarters rear edge are white yellow; otherwise the wings are brown thread with a violet cut. At the center of the hindquarters of the forks there is an elongated square black spot. The larva is first gray, later flesh colored on the back. The head as well as the top of the first and last crown is brown on the approx. 7 mm long larvae.",,"The symptoms are often seen first on the leaves, where the green leaf surface is shattered completely or there are holes. Often the leaves are spun by the larva. Symptoms of the fruits are often seen in cases where the leaves touch the fruit. Here the larva can hide and to make the shroud perfectly spindle the blade firmly to the leaf surface. In the case of older gnash, the fruit surface can be pre-corked. Multiple wings can cause these superficial gnav. Gray knob winger Hedya nubeferana (dimidioalba) , knob winder.htm , Red knot winger (Spilonota ocellana) , Hedge wings (Archips rosana) , Sharpened fruit leaf wafers (Archips podana) and chocolate brown fruit leaf wafers(Pandemis heparana) . However, it is mainly the larvae's larva that is caused by the very late wind damage of apples.",,"The microbiological drug DiPel DF* (Bacillus thuringiensis var. Kurstaki, Bioproduction , Nyttedyr.dk ) is available to hobby growers. It contains the bacterium Bacillus thuringiensis and can be used for spraying on small larvae.",Chemical spray treatment is widely used for the control of tortricids. Numerous methods have been reported on the optimal timing of control treatments. The timing depends on methods and products used. Use of chemical pesticides can harm the usefulness of the fauna! ,,,,
Moths,Argyresthia conjugella Zeller,Apple,"Appearance and Lifecycle: The small frost meter has a pretty special and different biology than so many other gauges. The adult males and females are completely different. The females have so reduced wings that they can not fly. The body is 5-6 mm long, dark brown with gray spots. The males have ""commonly"" developed wings with a wing spline of 22-28 mm. The forefings are rounded with gray brown dark cross streaks, the hindquarters are light brown. The eggs are 0.4 x 0.5 mm, oval with dotted surface. They are yellowish when they are laid, but quickly become orangered. ",,"The most powerful attacks occur most often where the wooden crowns are closest and there is a shadow on the apples and it is especially on the shadow side of the eyes that the first symptoms can be seen. When the larvae drill into the apples, there is often a certain amount of juice that solidifies into a white mass. These early symptoms are characteristic of this particular pest. The skull around this attack will then darken and shrink. After a week, the larvae begin to go deeper into the apples and leave winding brownish times with a cross-section of between 1 and 1.5 mm. The larvae continue their work and eventually reach the core house, destroying the protein rich diet. When the larvae are full grown, they leave the fruit through a slightly broader passage ending with a small extension just before the exit hole. From here they are firing down to the ground. Heavy attacks lead to the inoculation of fruit trees. ",,"The biological agent DiPel DF* contains bacteria that kill the larvae. Dipel (Bacillus thuringiensis var. kurstaki) is very helpful in controlling caterpillars, as long as they (the caterpillars) are very young. However, it may be hard to hit the correct time of treatment, which should lay in the period when the donkeys cling, but before the larvae penetrate the fruits.","In the profession, You may use: Steward* (Indoxacarb).","Use of plant volatiles in IPM programs is a challenging topic. Often, much of the knowledge on the mechanisms behind insect host-plant location via volatiles remains confined to the laboratory. A gap is reported when transferring the knowledge gained in laboratory into a natural setting. Our talk offers an example of a combined approach with laboratory and field bioassays to develop an IPM system based on plant volatiles. We predicted that the background odour of the crop and the way of delivery of plant volatiles could be key factors in closing this gap. We tested this hypothesis on the system of Argyresthia conjugella, the apple fruit moth, and its host-plants (Sorbus aucuparia and Malus domestica). Results showed that the delivery system as well as the volatile background had a great influence on attraction of plant volatile lures. Both were relevant to successfully transfer the preliminary data obtained in the laboratory into a field setting. By taking these factors into consideration, a monitoring lure to track the apple fruit moth migration from rowan to apple was developed. ",,,
Moths,Operophthera brumata  (Linnaeus),"Polyphagous, of apple and pear, which also attacks other woody hosts (cherry, plum, gooseberry, nut and forest trees).  It is a denizen of oak and other woodland trees where it sometimes causes defoliation and is particularly common in orchards adjacent to wooded areas.","Appearance and Lifecycle: As with the little frostmaaler.htm there is a big difference between males and females. It is also there with the great one. In fact, the females are completely wingless and just have to climb up the trees. ",,"The larvae have a wide host plant register. Cherries, apples, pears, plums, gooseberries, hazelnuts, ribs and blackcurrants are often visited. A large number of forest trees are also attacked.  The larvae emerge even before the buds run out and they are able to completely destroy them. Flower buds are hollowed out and in case of violent attacks it may go beyond the yield. Older larvae can start with the newly developed fruits, which may result in their rejection. There may also be damage to the fruits, eg forks on apples and pears.",,"Bacillus thuringiensis is a biological product (Turex WG*, 500 g kg Bacillus thuringiensis subsp. Aizawai, strain GC-91), that does not work early in the spring due to low temperature.","Though it is controlled readily by a spray of a broad-spectrum insecticide before blossom, it is likely to become more important with the use of more selective insecticides in Integrated Pest Management. After accidental introduction into North America, this species had become the target of one of the most successful and most cited programmes in classical biological control. Several studies have since been conducted on the population dynamics and the natural enemies of this pest. These give many pertinent insights into other current IPM-programmes.","Though it is controlled readily by a spray of a broad-spectrum insecticide before blossom, it is likely to become more important with the use of more selective insecticides in Integrated Pest Management. After accidental introduction into North America, this species had become the target of one of the most successful and most cited programmes in classical biological control. Several studies have since been conducted on the population dynamics and the natural enemies of this pest. These give many pertinent insights into other current IPM-programmes. ",,,
Moths,Erannis defoliaria  (Clerck),"A large number of wood species are visited by this painting larvae. Ahorn, Amelanchier, Birch, Chicken, Chestnut, Hassel, Cotoneaster, Beech, Sand Tower, Lark, Dip, Apple, Cherry, Pear, Oak, Ribs, Raspberries, Roses, Currant, Linden and Elm, and Noble Grains are registered host plants, but many more seem safe.","Appearance and Lifecycle: The only viable human-assisted pathway is the movement of dormant Malus spp. nursery stock. Young larvae overwinter under the protective covering of the egg mass laid on young shoots of host trees, mainly Malus spp. (Unruh et al., 1993). ",,The frost gauge may be present early in the spring so the buds are eaten before the leaves unfold. Also in gardens and orchards it is regularly seen. Flowers on fruit tugs can be severely destroyed. The large frost gauge can also be taken in apple flowers as it rocks and destroys.,,"Bacillus thuringiensis is a biological product DiPel DF * (Bacillus thuringiensis var. Kurstaki, Bioproduction , Nyttedyr.dk ) that does not work early in the spring due to low temperature.","In garden: Maladan Insect Spray*, Maladan Insect Spray W* (cypermetrin), Bayer Garden. 
 The profession is also used: The biopesticides with biological agent Trichogramma spp*.
 Steward* (Indoxacarb 300 g / kg)
 Karate 2.5 WG * (Lambda cyhalothrin)","In garden:
 Maladan Insect Spray*, Maladan Insect Spray W* (cypermetrin), Bayer Garden 
 The profession is also used: 
 The biopesticides with biological agent Trichogramma spp*. 
 Steward* (Indoxacarb 300 g / kg) 
 Karate 2.5 WG * (Lambda cyhalothrin)",,,
Moths,Yponomeuta malinellus  (Zeller),"Polyphagous(an oligophagous pest of apple (Malus silvestris, M. domestica, M. praecox). The major host of  this  species is  apple, but also has been occasionally reported on Pyrus spp. and generally distributed, causing considerable defoliation in unsprayed fruit trees and other deciduous hosts. ","Apperance: The adult moth is whitish and covered by numerous dark-bluish spots when developing within apple trees, whereas those from olives have pinkish wings with greenish dotes. The body is darkish with white hairs. At rest the wings are folded along the body, which is 25-30 mm long. The males are smaller (20 mm long). The larva is dark-yellow with black dorsal tubercles, About 50-55 mm long.","The best way to detect apple ermine moth is to trap adults. Bait wing traps with the commercially available apple ermine moth sex pheromone and place shoulder high in apple or crab apple trees. Check every 2 weeks to avoid damage to the wing pattern by stickum. Change the lure every six weeks or more often in hot weather. The lure is effective only within about 200 feet. In May and June you can see webs containing larvae and pupae. The webs are about the size of a tennis ball or smaller and can be difficult to detect without close scrutiny, especially in large trees. Look for a gold cast on leaves that have been mined within the web. Do not confuse these webs with those of the tent caterpillar, which get much larger and extend along the branch. Searching for overwintering egg masses on the bark during fall and winter is not recommended, as the color of the hibernaculum blends in well with the bark.","Caterpillars mine and eat around apple leaves. The damaged leaves are distinguished by brown tips. During mass reproduction the trees lose all leaves which results in the abscission of all seed-buds, and the remaining fruits decrease in size. There has been cases of the complete loss of fruits reported. General resistance of trees to adverse environmental conditions is reduced; e.g., their frost and drought resistance decrease. Because of the strong exhaustion of trees they do not produce fruit well the next year.",,"Generalist predators such as tachinid flies, birds and spiders can help control apple ermine moth. One of the moth's most important parasites, Ageniaspis fuscicollis, a wasp from Eurasia, has been introduced and established in the Bellingham area of Washington to reduce populations and slow its spread. One of the application of biological preparations is also one of the measures.  The bacterial insecticide Bt (Bacillus thuringiensis) gives good control if applied to actively feeding caterpillars in April and May.","Y. malinellus is controlled effectively by insecticide sprays against major pests.(usually against a complex of harmful Lepidoptera) early in the spring, before bud blossoming and before exit of caterpillars from under shields, and also at the end of apple flowering, right after the falling of petals. The pest is mainly limited by control measures used against all early spring orchard pests; treatments against bud pests and Codling Moth also reduce the Y. malinellus population density.",,,,
Moths,Synanthedon myopaeformis  (Borkhausen),Apple,"Life cycle: The moths occur in the orchards from May to November, dependent upon temperatures, host plant and plant protection practices. A female lives about one week, depositing 100-300 eggs on the bark, mostly on the tree from which it had emerged, or nearby. The emerging larvae bore into young twigs, often at the leaf bases, bringing about the withering on a leaf growing underneath. The larvae then move into elder, thicker branches wherein they continue to borrow into the wood, completing their development there. The pattern of the excavated tunnels differs between trees. In hosts like deciduous fruit trees, the tunnels are straight, whereas in other trees, like olives, the tunnels may be circular or sinuous. Prior to pupation the mature larva bores an emergence hole near the original point of ingress, and seals it by a thin membrane. The young adults break through and emerge. ",Prevention of wounds on the tree and treatment with wound-protecting products are the main preventive measures.,,,,"If necessary, the trunks should be treated in order to prevent adults from laying eggs. These sprays are, however, only effective if applied to run-off, at high concentrations, to the rootstock and grafting point. ",,,,
Moths,Zeuzera pyrina (Linnaeus),"Polyphagous, preferring soft-wood trees apple,(apple,  pear, plum, olive...)","Apperance: This is a large heavy moth with a wingspan of 68–96 mm. The wings are greyish brown and marked with fine dark cross lines. The moth flies from April to August depending on the location (in Denmark June and July). The caterpillars have a red/purple stripe across the back and a black head. They reach a length of 9–10 cm.The caterpillars feed in the trunks and branches of a wide variety of trees (see list below), taking three to five years to mature. The caterpillar holes can be found low on the stem (maximum 1.0–1.5 cm above the ground). When ready to pupate the caterpillar leaves the tree to find a suitable spot.","Light traps have been used in the past, but were supplemented by male mating disruption traps, placed during spring on the trees, to serve as an early warning system. Another method is to observe the occurrence of “flag leaves”, the withering leaves at the bases of thin branches infested by the young larvae.","A single young larva may cause the death of thin branches, by withering or breaking. Although olives are less susceptible, the tendency of the moth to remain on the same hosts results in several pest generations developing there, causing considerable damage to the trees, which become weakened.",,"The ectoparasitoid Elachertus nigritulus Zetterstedt, (Eulophidae) has been mass reared from leopard moth larvae, but its effect on the pest’s damage is not known.","Organophosphates are used when necessary, but may only be applied against the exposed adults, and cannot be used during harvest. IGRs have been successfully applied. Same control as for Synathedon myopaeformis.",,,,
Moths,Cossus cossus (Linnaeus),"Various habitats that are characterized by the presence of host plants.  Lives in gardens as well as in riparian wood  or wetlands and even in hot, sun-baked quarries with sallow. It has a preference for Populus, Quercus and Salix. ","Lifecycle: The adults fly in.The caterpillar takes several years to pupation. In the year prior to emergence, the overwintering takes usually place quite fully-grown. They usually leave their tree and create a cocoon in the soil in some distance.  The caterpillar burrows into the trunks of various deciduous trees, and feeds on the wood. Because of the long digestion period required for this food matter, the larvae often live for up to five years before pupating. ",,,,,,,,,
Moths,Leucoptera malifoliella (O. Costa),"They are polyphagous and feed on a number of rosaceous hosts as well as on species of other families, e.g. Betulaceae. Apple and pear are, however, the preferred hosts.","Apperance and lifecycle:   The adult is whitish, about 3-4 mm in length, the wings bordered by long hairs, the forewings silvery white with reddish brown stripes and an apical small black spot. At rest the wings are folded, roof-like, above the body. Larva initially transparent, then becoming green, 8-9 mm long and with prominent segments.",,"Larval feeding induces the occurrence of round necrotic spots on the upper surface of leaves. Up to 10-15 larvae may attack a single leaf, causing loss of leaf area and even drop. The mines change over time, they become larger, appearing as concentric circles and their color changes from whitish to brown. Fruit is not attacked but heavy leaf loss leads to reductions in size and yield. Heavy leaf losses also reduce the number of blossoms per inflorescence in the following year. Several other species attack apple in a similar way: Stigmella malella, Nepticula pomella, Phyllonorycter corylifoliella. The pest prefers apples and pears, also infesting the leaves of other deciduous and shade trees, especially of the family Rosaceae. Other two leaf miner species ",,,,,"Weak pruning results in more pest damage than strong pruning techniques, because shoots grow faster and more vigorously after strong pruning. This reduces susceptibility to the pest. Scraping and removing old, loose host tree bark, along with the cocoons of the pupae, wherein the moth shelters, reduces the size of the overwintering population.",,
Moths,Lyonetia clerkella (Linnaeus),"Apple, pear, almond and other Rosaceous fruit trees.","Appearance and Lifecycle: The adult apple weeds 6-7 mm long appear in the beginning of the middle of May, the same time as a number of apple varieties bloom. In particular, the Discovery's flow often drops along with the peak of the flight. The adult females put their eggs in connection with the flowers, more specifically the flower cup where a small hole is made. ",,"The larvae (caterpillars) tunnel between the upper and lower epidermis of infested leaves and, followed by reduced yields. The pest is especially harmful to saplings in nurseries and to young trees.",,"Parasitoids play an important part in naturally regulating populations of several leaf-mining moth species of pome fruits. Severe outbreaks of leaf-mining species are often caused by elimination of their parasitoids by broad-spectrum pesticides, highlighting the need for further research and development into leafminers and their parasitoids. Surveys of the parasitoids of leaf-mining moths have been done in many countries. The larvae were exploited easily by a large number of parasitoid species over evolutionary time because they are relatively immobile and are protected poorly by their mines. In general, these showed each leaf mining species to be attacked by a complex often of over ten species of parasitoid, though usually 2-3 species were numerically dominant. Several parasitoid species have more than one host. Also the parasitoid fauna of leaf-mining moths associated with a tree genus (Malus, Pyrus) is quantitatively and qualitatively characteristic and, in general, it most resembles that found on allied tree genera. ","Leaf-mining moths on fruit trees are difficult to control for various reasons, including their covert way of life, which makes them difficult to reach with sprays. The population density of L. malifoliella increases in orchards when chemical pesticides (organophosphates, carbamates, etc.) are applied without skill, as the pesticides can kill almost all of the natural regulators of the pest. ","Use of selective plant protection products is recommended against main pests (e.g. cydia pomonella granulovirus against Cydia pomonella), in order to preserve the parasitoids which play an essential role in the regulation of leaf miner populations. ",,,
Moths,Hyphantria cunea (Drury),Polyphogouse,"Appearance and Lifecycle: Apple's beetle is a small beetle 3.5 - 6 mm, it is dark brown with a gray-white V sign on the back shield. The eggs are 0.5 - 07 mm and white. The larva is 8 mm long and white with dark brown head. The body becomes more yellow when fully developed. The adult snout bug overcomes as an adult in the ground under fruit trees or hidden behind bark flakes. From February they are active on hot days. At full knots they will return to the tree. In spring, it emerges as soon as the fruit trees buds turn green. The bill can fly over larger distances, but do it only when the temperature exceeds the approx. 10 gr. C. Until the flowering, the bill is gnawing on the new buds, but it is only at the flowering that the damage occurs. The bills raise up to 100 eggs, usually only one egg per flower. The eggs hatch after a week to 14 days, depending on the temperature and the small larvae that are cute white with brown head, begin to nibble in the flower parts immediately. As the flower is still closed, the larva is thus well protected by the petals. 3-4 weeks after hatching, the prepupulation lasts approximately 14 days. After that, the grown-up caresses out of the flower and lives until late summer to rub the leaves, after which it hides and overcomes as an adult. The bills feed on the underside of the leaves for approx. 3 weeks after which they return in winter.",,"In the first two thirds of the vegetation, the caterpillars are fed with leaves and can cause pigeon formation. At the end of the vegetation, before ripening, the caterpillars feed on the surface of the fruit of the apple.",,"H. cunea was first recorded in Europe in 1940 and was widespread in Eastern Europe by the time a biological control programme was initiated in 1952. Introductions of a number of the more important parasitoids from North America were attempted and continued into the 1960s. In older literature, other pathogenic organisms are the fungi Beauveria bassiana and B. globulifera and the egg parasite Trichogramma dendrolimi. Entomophagous nematodes (Steinernema feltiae) can be also used to reduce H. cunea populations . Several types of pathogens can infect this species, such as granulovirus (which causes granulosis disease) and nucleopolyhedrosis virus. Granulovirus has a rod-like shape. Also, an individual will be more likely to be infected at a younger age.","None of natural enemies are known to have become established, and subsequent biological control attemps have focused on the the use of Bacillus thuringiensis sprays. It is recommended to use Bacillus thurigiensis insecticides because they have very favorable toxicological properties and short withdrawal periods. Preparations of B. thuringiensis kurstaki were reported to be most effective in Hungary and Korea.",In Romania field Bacillus thuringiensis var. Kurstaki (Dipel 2x WP at 0.075% also showed good protection. The synergenism of mixtures (50:50) of chemical and biological insecticides was very effective in controlling the pest. ,,,
Moths,Hoplocampa testudinea Klug,Apple,"Apperance: The adult beetle belongs to the Torbisterne family (Scarabaeidae), which houses some of the largest and most beautiful beetles we know in Denmark (Oldenborre, Rhino bushes and more). The bill is not as bad as they mentioned, 8-12 mm long. The wings are reddish brown, slightly hairy, with a dark edge. The neck shawl is metallic green to shiny black. ",Prognosis can be based on monitoring data from the previous year. White-coloured sticky traps are widely used in practice for monitoring adult flight. ,,,"Apple sawflies are known to be controlled by natural enemies, i.e. parasitoids, nematodes and entomopathogenic fungi. In Switzerland, two generations of parasitoid of H. testudinea - A. nigrocincta was investigated in laboratory and field experiments. Rates of parasitism within single generations were variable, ranging from 12.1 to 39.7 % in the years of investigation. The impact of this bivoltine parasitoid accumulates on its univoltine host and A. nigrocincta is found to be the main mortality factor of apple sawfly cocoons in the present study. Development from egg to adult is completed in 38.0 ± 2.1 SD days for males and in 39.6 ± 2.3 SD days for females. Females emerged without any mature egg and later in their life the eggload remained small (range from 0 to 8 mature eggs). Under laboratory conditions males of this species lived 50.6 days while females survived significantly longer (72.5 days). From field observations it could be ascertained that the phenology of this parasitoid is rather complicated with fractions of the population emerging directly, later in the same year and in the following year at different times. Three peak emergence times could be observed: a first one occurred during June, well synchronisized with the descending phase of the apple sawfly, a second one was observed during August and a third one in October. Males emerged about one or two weeks earlier than females. Hibernation takes place as mature larva in the cocoon or as adult (only females). ","The best time for spraying is just before the eggs cling. In order to determine this time, white glue plates are used to capture the adult laying females.",,,,
